path,genre_gt,clip_type,duration_s,ok
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0025__Drum_Loops__SM_SC_129_Battery_Kick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0026__Drum_Loops__SM_SC_128_Huff_Clap.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0027__Drum_Loops__SM_SC_128_Atom_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0028__Drum_Loops__SM_SC_129_Jode_NoKick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0029__Drum_Loops__SM_SC_127_Temple_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0030__Synth_Music_Loops__SM_SC_128_Gm_Benji_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0031__Drum_Loops__SM_SC_127_Washy_Hats.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0032__Drum_Loops__SM_SC_128_Sharp_Snare.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0033__Drum_Loops__SM_SC_128_HeadHigh_Hats.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0034__Drum_Loops__SM_SC_126_Loopster_NoKick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0035__Drum_Loops__SM_SC_126_Loopster_Full.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0036__Synth_Music_Loops__SM_SC_127_Cm_Ipanema_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0037__Bass_Loops__SM_SC_125_Am_Tosh_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0038__Drum_Loops__SM_SC_128_Slick_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0039__Synth_Music_Loops__SM_SC_127_Cm_Fresh_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0040__Drum_Loops__SM_SC_127_Arturo_Clap.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0041__Drum_Loops__SM_SC_127_Snimrare_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0042__Synth_Music_Loops__SM_SC_128_F#_Randomer_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0043__Drum_Loops__SM_SC_129_Jode_Full.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0044__Synth_Music_Loops__SM_SC_127_Em_Cella_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0045__Drum_Loops__SM_SC_126_Loopster_Clap.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0046__Synth_Music_Loops__SM_SC_128_F#_Hefto_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0047__Drum_Loops__SM_SC_128_Steph_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0048__Drum_Loops__SM_SC_128_Weirdo_Full.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0049__Synth_Music_Loops__SM_SC_128_Gm_Hecta_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0050__Single_Hits__SM_SC_Clap_01.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0051__Single_Hits__SM_SC_Hat_23.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0052__Single_Hits__SM_SC_Clap_02.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0053__Single_Hits__SM_SC_Hat_20.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0054__Single_Hits__SM_SC_Hat_19.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0055__Single_Hits__SM_SC_Perc_12.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0056__Single_Hits__SM_SC_Hat_08.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0057__Single_Hits__SM_SC_Bass_06_C.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0058__Single_Hits__SM_SC_Kick_10.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0059__Single_Hits__SM_SC_Perc_03.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0060__Single_Hits__SM_SC_Clap_05.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0061__Single_Hits__SM_SC_Synth_10_A#.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0062__Single_Hits__SM_SC_Bass_11_C.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0063__Single_Hits__SM_SC_Perc_05.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0064__Single_Hits__SM_SC_Hat_12.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0065__Single_Hits__SM_SC_Perc_15.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0066__Single_Hits__SM_SC_Perc_14.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0067__Single_Hits__SM_SC_Hat_21.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0068__Single_Hits__SM_SC_Perc_08.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0069__Single_Hits__SM_SC_Clap_14.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0070__Single_Hits__SM_SC_Bass_09_C.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0071__Single_Hits__SM_SC_Synth_04_Fm.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0072__Single_Hits__SM_SC_Hat_04.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0073__Single_Hits__SM_SC_Snare_06.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0074__Single_Hits__SM_SC_Snare_08.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0075__Single_Hits__SM_SC_Perc_13.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0076__Single_Hits__SM_SC_Synth_09_Gm.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0077__Single_Hits__SM_SC_Snare_09.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0078__Single_Hits__SM_SC_Hat_10.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0079__Single_Hits__SM_SC_Synth_03_D#.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0080__Single_Hits__SM_SC_Snare_03.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0081__Single_Hits__SM_SC_Clap_10.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0082__Single_Hits__SM_SC_Hat_22.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0083__Single_Hits__SM_SC_Synth_08_Cm.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0084__Single_Hits__SM_SC_Hat_01.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0085__Single_Hits__SM_SC_Hat_09.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0086__Single_Hits__SM_SC_Bass_10_C.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0087__Single_Hits__SM_SC_Clap_11.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0088__Single_Hits__SM_SC_Kick_16.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0089__Single_Hits__SM_SC_Snare_07.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0090__Single_Hits__SM_SC_Synth_01_Cm.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0091__Single_Hits__SM_SC_Perc_11.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0092__Single_Hits__SM_SC_Perc_10.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0093__Single_Hits__SM_SC_Snare_01.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0094__Single_Hits__SM_SC_Clap_07.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0095__Single_Hits__SM_SC_Hat_15.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0096__Single_Hits__SM_SC_Synth_07_Cm.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0097__Single_Hits__SM_SC_Perc_07.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0098__Single_Hits__SM_SC_Clap_04.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/oneshot/0099__Single_Hits__SM_SC_Hat_18.wav,house,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0100__Drum_Loops__TWHS_HGE1_PERC_LOOP_07_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0101__Bass_Loops_Rumbles__TWHS_HGE1_RUMBLE_LOOP_09_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0102__Drum_Loops__TWHS_HGE1_KICK_&_BASS_LOOP_18_143BPM_F#m.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0103__Bass_Loops_Normal__TWHS_HGE1_BASS_LOOP_17_144BPM_Fm.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0104__Drum_Loops__TWHS_HGE1_PERC_LOOP_02_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0105__Drum_Loops__TWHS_HGE1_TOP_LOOP_01_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0106__Drum_Loops__TWHS_HGE1_KICK_LOOP_08_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0107__Drum_Loops__TWHS_HGE1_BONGO_LOOP_04_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0108__Drum_Loops__TWHS_HGE1_KICK_&_BASS_LOOP_09_144BPM_Em.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0109__Melodic_Loops__TWHS_HGE1_RAVESTABLOOP_11_143BPM_Em.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0110__Fills__TWHS_HGE1_FILL_5_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0111__Drum_Loops__TWHS_HGE1_FULL_LOOP_7_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0112__Melodic_Loops__TWHS_HGE1_SYNTHLOOP_25_145BPM_Fm.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0113__Fills__TWHS_HGE1_FILL_14_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0114__Drum_Loops__TWHS_HGE1_CLAP_LOOP_14_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0115__Drum_Loops__TWHS_HGE1_KICK_LOOP_06_143BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0116__Drum_Loops__TWHS_HGE1_CLAP_LOOP_12_142BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0117__Drum_Loops__TWHS_HGE1_KICK_&_RUMBLE_LOOP_07_143BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0118__Melodic_Loops__TWHS_HGE1_RAVESTABLOOP_08_144BPM_Gm.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0119__Melodic_Loops__TWHS_HGE1_INSPIRATION_5_FINEWINE_F_145_145.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0120__Drum_Loops__TWHS_HGE1_KICK_LOOP_05_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0121__Melodic_Loops__TWHS_HGE1_RAVESTABLOOP_20_145BPM_Am.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0122__Drum_Loops__TWHS_HGE1_TOP_LOOP_15_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0123__Melodic_Loops__TWHS_HGE1_RAVESTABLOOP_19_145BPM_Cm.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0124__Drum_Loops__TWHS_HGE1_FULL_LOOP_9_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0125__Drum_Loops__TWHS_HGE1_FULL_LOOP_15_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0126__Drum_Loops__TWHS_HGE1_KICK_&_BASS_LOOP_13_145BPM_D#m.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0127__Drum_Loops__TWHS_HGE1_CLAP_LOOP_11_140BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0128__Melodic_Loops__TWHS_HGE1_GRANULARLOOP_01_142BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0129__Fills__TWHS_HGE1_FILL_30_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0130__Drum_Loops__TWHS_HGE1_BONGO_LOOP_17_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0131__Bass_Loops_Rumbles__TWHS_HGE1_RUMBLE_LOOP_05_143BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0132__Drum_Loops__TWHS_HGE1_BONGO_LOOP_27_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0133__Drum_Loops__TWHS_HGE1_CLAP_LOOP_19_140BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0134__Melodic_Loops__TWHS_HGE1_SYNTHLOOP_17_142BPM_Dm.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0135__Drum_Loops__TWHS_HGE1_CH_LOOP_02_142BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0136__Drum_Loops__TWHS_HGE1_TOP_LOOP_12_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0137__Melodic_Loops__TWHS_HGE1_SYNTHLOOP_01_144BPM_Em.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0138__Drum_Loops__TWHS_HGE1_BONGO_LOOP_03_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0139__Drum_Loops__TWHS_HGE1_FULL_LOOP_2_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0140__Drum_Loops__TWHS_HGE1_FULL_LOOP_24_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0141__Fills__TWHS_HGE1_FILL_19_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0142__Melodic_Loops__TWHS_HGE1_INSPIRATION_10_SPRING_F_145_145.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0143__Drum_Loops__TWHS_HGE1_KICK_&_RUMBLE_LOOP_09_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0144__Melodic_Loops__TWHS_HGE1_RAVESTABLOOP_04_144BPM_Gm.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0145__Bass_Loops_Normal__TWHS_HGE1_BASS_LOOP_06_144BPM_Gm.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0146__Drum_Loops__TWHS_HGE1_BONGO_LOOP_29_144BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0147__Melodic_Loops__TWHS_HGE1_INSPIRATION_4_FIRESTORM_D_145_145.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0148__Drum_Loops__TWHS_HGE1_KICK_LOOP_07_145BPM.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/loop/0149__Melodic_Loops__TWHS_HGE1_SYNTHLOOP_24_142BPM_Em.wav,techno,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0150__Drum_Oneshots__TWHS_HGE1_OPEN_HAT_08.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0151__Drum_Oneshots__TWHS_HGE1_CLOSED_HAT_09.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0152__Drum_Oneshots__TWHS_HGE1_REV_CRASH_16_145BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0153__Drum_Oneshots__TWHS_HGE1_KICK_02.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0154__Drum_Oneshots__TWHS_HGE1_CRASH_01_145BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0155__Drum_Oneshots__TWHS_HGE1_KICK_07.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0156__Drum_Oneshots__TWHS_HGE1_CLAP_01.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0157__Melodic_Oneshots__TWHS_HGE1_RAVESTAB_14_A.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0158__Melodic_Oneshots__TWHS_HGE1_SYNTHSHOT_13_140BPM_Cm.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0159__Drum_Oneshots__TWHS_HGE1_REV_CRASH_08_145BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0160__Drum_Oneshots__TWHS_HGE1_KICK_19.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0161__Melodic_Oneshots__TWHS_HGE1_SYNTHSHOT_06_145BPM_D#m.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0162__Drum_Oneshots__TWHS_HGE1_CRASH_06_145BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0163__Drum_Oneshots__TWHS_HGE1_KICK_20.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0164__Drum_Oneshots__TWHS_HGE1_CLOSED_HAT_08.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0165__Melodic_Oneshots__TWHS_HGE1_CHANT_11_140BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0166__Drum_Oneshots__TWHS_HGE1_REV_CRASH_17_145BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0167__Melodic_Oneshots__TWHS_HGE1_CHANT_14_140BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0168__Melodic_Oneshots__TWHS_HGE1_SYNTHSHOT_07_142BPM_Em.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0169__Melodic_Oneshots__TWHS_HGE1_CHANT_06_145BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0170__Drum_Oneshots__TWHS_HGE1_CRASH_11_145BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0171__Drum_Oneshots__TWHS_HGE1_CLOSED_HAT_20.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0172__Drum_Oneshots__TWHS_HGE1_OPEN_HAT_16.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0173__Drum_Oneshots__TWHS_HGE1_CRASH_02_144BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0174__Drum_Oneshots__TWHS_HGE1_PERC_09.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0175__Drum_Oneshots__TWHS_HGE1_PERC_06.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0176__Melodic_Oneshots__TWHS_HGE1_SYNTHSHOT_14_140BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0177__Melodic_Oneshots__TWHS_HGE1_CHANT_04_143BPM.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0178__Drum_Oneshots__TWHS_HGE1_OPEN_HAT_03.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0179__Drum_Oneshots__TWHS_HGE1_KICK_16.wav,techno,oneshot,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/techno/oneshot/0180__Drum_Oneshots__TWHS_HGE1_CLAP_05.wav,techno,oneshot,,1
